"variable","field","suffix","fieldid","instance","index","category"
"eid","eid",NA,NA,NA,NA,"Demographic"
"weight_method_f21_0_0","weight_method","21_0_0","21","0","0","Anthropometry"
"weight_method_f21_1_0","weight_method","21_1_0","21","1","0","Anthropometry"
"weight_method_f21_2_0","weight_method","21_2_0","21","2","0","Anthropometry"
"weight_method_f21_3_0","weight_method","21_3_0","21","3","0","Anthropometry"
"sex_f31_0_0","sex","31_0_0","31","0","0","Demographic"
"year_of_birth_f34_0_0","year_of_birth","34_0_0","34","0","0","Demographic"
"height_measure_device_id_f39_0_0","height_measure_device_id","39_0_0","39","0","0","Anthropometry"
"height_measure_device_id_f39_1_0","height_measure_device_id","39_1_0","39","1","0","Anthropometry"
"height_measure_device_id_f39_2_0","height_measure_device_id","39_2_0","39","2","0","Anthropometry"
"height_measure_device_id_f39_3_0","height_measure_device_id","39_3_0","39","3","0","Anthropometry"
"manual_scales_device_id_f40_0_0","manual_scales_device_id","40_0_0","40","0","0","Anthropometry"
"manual_scales_device_id_f40_1_0","manual_scales_device_id","40_1_0","40","1","0","Anthropometry"
"manual_scales_device_id_f40_2_0","manual_scales_device_id","40_2_0","40","2","0","Anthropometry"
"manual_scales_device_id_f40_3_0","manual_scales_device_id","40_3_0","40","3","0","Anthropometry"
"seating_box_device_id_f41_0_0","seating_box_device_id","41_0_0","41","0","0","Anthropometry"
"seating_box_device_id_f41_1_0","seating_box_device_id","41_1_0","41","1","0","Anthropometry"
"seating_box_device_id_f41_2_0","seating_box_device_id","41_2_0","41","2","0","Anthropometry"
"seating_box_device_id_f41_3_0","seating_box_device_id","41_3_0","41","3","0","Anthropometry"
"tape_measure_device_id_f44_0_0","tape_measure_device_id","44_0_0","44","0","0","Anthropometry"
"tape_measure_device_id_f44_1_0","tape_measure_device_id","44_1_0","44","1","0","Anthropometry"
"tape_measure_device_id_f44_2_0","tape_measure_device_id","44_2_0","44","2","0","Anthropometry"
"tape_measure_device_id_f44_3_0","tape_measure_device_id","44_3_0","44","3","0","Anthropometry"
"waist_circumference_f48_0_0","waist_circumference","48_0_0","48","0","0","Anthropometry"
"waist_circumference_f48_1_0","waist_circumference","48_1_0","48","1","0","Anthropometry"
"waist_circumference_f48_2_0","waist_circumference","48_2_0","48","2","0","Anthropometry"
"waist_circumference_f48_3_0","waist_circumference","48_3_0","48","3","0","Anthropometry"
"hip_circumference_f49_0_0","hip_circumference","49_0_0","49","0","0","Anthropometry"
"hip_circumference_f49_1_0","hip_circumference","49_1_0","49","1","0","Anthropometry"
"hip_circumference_f49_2_0","hip_circumference","49_2_0","49","2","0","Anthropometry"
"hip_circumference_f49_3_0","hip_circumference","49_3_0","49","3","0","Anthropometry"
"standing_height_f50_0_0","standing_height","50_0_0","50","0","0","Anthropometry"
"standing_height_f50_1_0","standing_height","50_1_0","50","1","0","Anthropometry"
"standing_height_f50_2_0","standing_height","50_2_0","50","2","0","Anthropometry"
"standing_height_f50_3_0","standing_height","50_3_0","50","3","0","Anthropometry"
"seated_height_f51_0_0","seated_height","51_0_0","51","0","0","Anthropometry"
